YEAR,MONTH,Datetime,Rainfall
1923,Nov,01-11-1923,0
1923,Dec,01-12-1923,2.826
1924,Jan,01-01-1924,4.705
1924,Feb,01-02-1924,6.378
1924,Mar,01-03-1924,0.471
1924,Apr,01-04-1924,0.002
1924,May,01-05-1924,12.068
1924,Jun,01-06-1924,24.664
1924,Jul,01-07-1924,183.425
1924,Aug,01-08-1924,128.994
1924,Sep,01-09-1924,169.123
1924,Oct,01-10-1924,5.669
1924,Nov,01-11-1924,1.266
1924,Dec,01-12-1924,29.759
1925,Jan,01-01-1925,0.354
1925,Feb,01-02-1925,0
1925,Mar,01-03-1925,0
1925,Apr,01-04-1925,0
1925,May,01-05-1925,13.857
1925,Jun,01-06-1925,117.165
1925,Jul,01-07-1925,298.676
1925,Aug,01-08-1925,67.067
1925,Sep,01-09-1925,7.08
1925,Oct,01-10-1925,0.208
1925,Nov,01-11-1925,31.804
1925,Dec,01-12-1925,0.002
1926,Jan,01-01-1926,20.532
1926,Feb,01-02-1926,1.43
1926,Mar,01-03-1926,19.567
1926,Apr,01-04-1926,7.982
1926,May,01-05-1926,20.854
1926,Jun,01-06-1926,13.922
1926,Jul,01-07-1926,203.075
1926,Aug,01-08-1926,239.316
1926,Sep,01-09-1926,196.169
1926,Oct,01-10-1926,0
1926,Nov,01-11-1926,1.13
1926,Dec,01-12-1926,0.01
1927,Jan,01-01-1927,0
1927,Feb,01-02-1927,13.24
1927,Mar,01-03-1927,2.779
1927,Apr,01-04-1927,1.123
1927,May,01-05-1927,9.824
1927,Jun,01-06-1927,15.41
1927,Jul,01-07-1927,238.871
1927,Aug,01-08-1927,332.251
1927,Sep,01-09-1927,58.512
1927,Oct,01-10-1927,10.664
1927,Nov,01-11-1927,13.995
1927,Dec,01-12-1927,16.133
1928,Jan,01-01-1928,3.081
1928,Feb,01-02-1928,11.261
1928,Mar,01-03-1928,1.622
1928,Apr,01-04-1928,1.537
1928,May,01-05-1928,2.141
1928,Jun,01-06-1928,16.516
1928,Jul,01-07-1928,176.907
1928,Aug,01-08-1928,162.208
1928,Sep,01-09-1928,55.861
1928,Oct,01-10-1928,34.034
1928,Nov,01-11-1928,22.339
1928,Dec,01-12-1928,12.452
1929,Jan,01-01-1929,0.439
1929,Feb,01-02-1929,0.623
1929,Mar,01-03-1929,0
1929,Apr,01-04-1929,6.672
1929,May,01-05-1929,2.305
1929,Jun,01-06-1929,40.451
1929,Jul,01-07-1929,181.282
1929,Aug,01-08-1929,170.984
1929,Sep,01-09-1929,7.61
1929,Oct,01-10-1929,1.218
1929,Nov,01-11-1929,0
1929,Dec,01-12-1929,13.781
1930,Jan,01-01-1930,7.42
1930,Feb,01-02-1930,3.527
1930,Mar,01-03-1930,0
1930,Apr,01-04-1930,3.028
1930,May,01-05-1930,19.018
1930,Jun,01-06-1930,103.338
1930,Jul,01-07-1930,271.283
1930,Aug,01-08-1930,91.401
1930,Sep,01-09-1930,23.467
1930,Oct,01-10-1930,15.245
1930,Nov,01-11-1930,0.187
1930,Dec,01-12-1930,0.1
1931,Jan,01-01-1931,0.2
1931,Feb,01-02-1931,3.369
1931,Mar,01-03-1931,1.508
1931,Apr,01-04-1931,0.845
1931,May,01-05-1931,5.083
1931,Jun,01-06-1931,18.763
1931,Jul,01-07-1931,110.993
1931,Aug,01-08-1931,329.724
1931,Sep,01-09-1931,78.002
1931,Oct,01-10-1931,39.215
1931,Nov,01-11-1931,0.006
1931,Dec,01-12-1931,0
1932,Jan,01-01-1932,0
1932,Feb,01-02-1932,0.652
1932,Mar,01-03-1932,6.764
1932,Apr,01-04-1932,2.803
1932,May,01-05-1932,2.659
1932,Jun,01-06-1932,31.876
1932,Jul,01-07-1932,117.485
1932,Aug,01-08-1932,340.39
1932,Sep,01-09-1932,72.3
1932,Oct,01-10-1932,0.134
1932,Nov,01-11-1932,0
1932,Dec,01-12-1932,0
1933,Jan,01-01-1933,0.041
1933,Feb,01-02-1933,13.845
1933,Mar,01-03-1933,4.733
1933,Apr,01-04-1933,20.898
1933,May,01-05-1933,32.101
1933,Jun,01-06-1933,199.104
1933,Jul,01-07-1933,99.115
1933,Aug,01-08-1933,402.437
1933,Sep,01-09-1933,125.591
1933,Oct,01-10-1933,10.213
1933,Nov,01-11-1933,0.106
1933,Dec,01-12-1933,0.482
1934,Jan,01-01-1934,3.764
1934,Feb,01-02-1934,0
1934,Mar,01-03-1934,10.534
1934,Apr,01-04-1934,0
1934,May,01-05-1934,0.456
1934,Jun,01-06-1934,139.921
1934,Jul,01-07-1934,108.815
1934,Aug,01-08-1934,250.91
1934,Sep,01-09-1934,32.351
